n,prime,diff
1,2,2
2,3,1
3,5,2
4,7,2
5,11,4
6,13,2
7,17,4
8,19,2
9,23,4
10,29,6
11,31,2
12,37,6
13,41,4
14,43,2
15,47,4
16,53,6
17,59,6
18,61,2
19,67,6
20,71,4
21,73,2
22,79,6
23,83,4
24,89,6
25,97,8
26,101,4
27,103,2
28,107,4
29,109,2
30,113,4
31,127,14
32,131,4
33,137,6
34,139,2
35,149,10
36,151,2
37,157,6
38,163,6
39,167,4
40,173,6
41,179,6
42,181,2
43,191,10
44,193,2
45,197,4
46,199,2
47,211,12
48,223,12
49,227,4
50,229,2
51,233,4
52,239,6
53,241,2
54,251,10
55,257,6
56,263,6
57,269,6
58,271,2
59,277,6
60,281,4
61,283,2
62,293,10
63,307,14
64,311,4
65,313,2
66,317,4
67,331,14
68,337,6
69,347,10
70,349,2
71,353,4
72,359,6
73,367,8
74,373,6
75,379,6
76,383,4
77,389,6
78,397,8
79,401,4
80,409,8
81,419,10
82,421,2
83,431,10
84,433,2
85,439,6
86,443,4
87,449,6
88,457,8
89,461,4
90,463,2
91,467,4
92,479,12
93,487,8
94,491,4
95,499,8
96,503,4
97,509,6
98,521,12
99,523,2
100,541,18
101,547,6
102,557,10
103,563,6
104,569,6
105,571,2
106,577,6
107,587,10
108,593,6
109,599,6
110,601,2
111,607,6
112,613,6
113,617,4
114,619,2
115,631,12
116,641,10
117,643,2
118,647,4
119,653,6
120,659,6
121,661,2
122,673,12
123,677,4
124,683,6
125,691,8
126,701,10
127,709,8
128,719,10
129,727,8
130,733,6
131,739,6
132,743,4
133,751,8
134,757,6
135,761,4
136,769,8
137,773,4
138,787,14
139,797,10
140,809,12
141,811,2
142,821,10
143,823,2
144,827,4
145,829,2
146,839,10
147,853,14
148,857,4
149,859,2
150,863,4
151,877,14
152,881,4
153,883,2
154,887,4
155,907,20
156,911,4
157,919,8
158,929,10
159,937,8
160,941,4
161,947,6
162,953,6
163,967,14
164,971,4
165,977,6
166,983,6
167,991,8
168,997,6
169,1009,12
170,1013,4
171,1019,6
172,1021,2
173,1031,10
174,1033,2
175,1039,6
176,1049,10
177,1051,2
178,1061,10
179,1063,2
180,1069,6
181,1087,18
182,1091,4
183,1093,2
184,1097,4
185,1103,6
186,1109,6
187,1117,8
188,1123,6
189,1129,6
190,1151,22
191,1153,2
192,1163,10
193,1171,8
194,1181,10
195,1187,6
196,1193,6
197,1201,8
198,1213,12
199,1217,4
200,1223,6
201,1229,6
202,1231,2
203,1237,6
204,1249,12
205,1259,10
206,1277,18
207,1279,2
208,1283,4
209,1289,6
210,1291,2
211,1297,6
212,1301,4
213,1303,2
214,1307,4
215,1319,12
216,1321,2
217,1327,6
218,1361,34
219,1367,6
220,1373,6
221,1381,8
222,1399,18
223,1409,10
224,1423,14
225,1427,4
226,1429,2
227,1433,4
228,1439,6
229,1447,8
230,1451,4
231,1453,2
232,1459,6
233,1471,12
234,1481,10
235,1483,2
236,1487,4
237,1489,2
238,1493,4
239,1499,6
240,1511,12
241,1523,12
242,1531,8
243,1543,12
244,1549,6
245,1553,4
246,1559,6
247,1567,8
248,1571,4
249,1579,8
250,1583,4
251,1597,14
252,1601,4
253,1607,6
254,1609,2
255,1613,4
256,1619,6
257,1621,2
258,1627,6
259,1637,10
260,1657,20
261,1663,6
262,1667,4
263,1669,2
264,1693,24
265,1697,4
266,1699,2
267,1709,10
268,1721,12
269,1723,2
270,1733,10
271,1741,8
272,1747,6
273,1753,6
274,1759,6
275,1777,18
276,1783,6
277,1787,4
278,1789,2
279,1801,12
280,1811,10
281,1823,12
282,1831,8
283,1847,16
284,1861,14
285,1867,6
286,1871,4
287,1873,2
288,1877,4
289,1879,2
290,1889,10
291,1901,12
292,1907,6
293,1913,6
294,1931,18
295,1933,2
296,1949,16
297,1951,2
298,1973,22
299,1979,6
300,1987,8
301,1993,6
302,1997,4
303,1999,2
304,2003,4
305,2011,8
306,2017,6
307,2027,10
308,2029,2
309,2039,10
310,2053,14
311,2063,10
312,2069,6
313,2081,12
314,2083,2
315,2087,4
316,2089,2
317,2099,10
318,2111,12
319,2113,2
320,2129,16
321,2131,2
322,2137,6
323,2141,4
324,2143,2
325,2153,10
326,2161,8
327,2179,18
328,2203,24
329,2207,4
330,2213,6
331,2221,8
332,2237,16
333,2239,2
334,2243,4
335,2251,8
336,2267,16
337,2269,2
338,2273,4
339,2281,8
340,2287,6
341,2293,6
342,2297,4
343,2309,12
344,2311,2
345,2333,22
346,2339,6
347,2341,2
348,2347,6
349,2351,4
350,2357,6
351,2371,14
352,2377,6
353,2381,4
354,2383,2
355,2389,6
356,2393,4
357,2399,6
358,2411,12
359,2417,6
360,2423,6
361,2437,14
362,2441,4
363,2447,6
364,2459,12
365,2467,8
366,2473,6
367,2477,4
368,2503,26
369,2521,18
370,2531,10
371,2539,8
372,2543,4
373,2549,6
374,2551,2
375,2557,6
376,2579,22
377,2591,12
378,2593,2
379,2609,16
380,2617,8
381,2621,4
382,2633,12
383,2647,14
384,2657,10
385,2659,2
386,2663,4
387,2671,8
388,2677,6
389,2683,6
390,2687,4
391,2689,2
392,2693,4
393,2699,6
394,2707,8
395,2711,4
396,2713,2
397,2719,6
398,2729,10
399,2731,2
400,2741,10
401,2749,8
402,2753,4
403,2767,14
404,2777,10
405,2789,12
406,2791,2
407,2797,6
408,2801,4
409,2803,2
410,2819,16
411,2833,14
412,2837,4
413,2843,6
414,2851,8
415,2857,6
416,2861,4
417,2879,18
418,2887,8
419,2897,10
420,2903,6
421,2909,6
422,2917,8
423,2927,10
424,2939,12
425,2953,14
426,2957,4
427,2963,6
428,2969,6
429,2971,2
430,2999,28
431,3001,2
432,3011,10
433,3019,8
434,3023,4
435,3037,14
436,3041,4
437,3049,8
438,3061,12
439,3067,6
440,3079,12
441,3083,4
442,3089,6
443,3109,20
444,3119,10
445,3121,2
446,3137,16
447,3163,26
448,3167,4
449,3169,2
450,3181,12
451,3187,6
452,3191,4
453,3203,12
454,3209,6
455,3217,8
456,3221,4
457,3229,8
458,3251,22
459,3253,2
460,3257,4
461,3259,2
462,3271,12
463,3299,28
464,3301,2
465,3307,6
